interests,female,male
sports,5.494897959183674,7.168269230769231
museums,7.454081632653061,6.480769230769231
tvsports,4.005102040816326,5.076923076923077
exercise,6.224489795918367,6.168269230769231
dining,8.198979591836734,7.399038461538462
art,7.255102040816326,6.153846153846154
hiking,5.928571428571429,5.519230769230769
gaming,3.0816326530612246,4.5576923076923075
clubbing,5.872448979591836,5.600961538461538
reading,7.892857142857143,7.302884615384615
tv,5.658163265306122,4.9375
theater,7.540816326530612,6.038461538461538
movies,8.178571428571429,7.668269230769231
concerts,7.229591836734694,6.591346153846154
shopping,6.423469387755102,4.884615384615385
music,8.035714285714286,7.668269230769231
yoga,5.096938775510204,3.764423076923077
